,Length_of_Sentences
0,8
1,8
2,25
3,13
4,24
5,15
6,32
7,15
8,16
9,20
10,14
11,4
12,3
13,15
14,13
15,13
16,6
17,6
18,16
19,4
20,9
21,5
22,14
23,6
24,7
25,11
26,17
27,14
28,44
29,20
30,12
31,10
32,20
33,5
34,20
35,14
36,8
37,7
38,33
39,19
40,3
41,4
42,8
43,11
44,40
45,13
46,14
47,12
48,6
49,46
50,21
51,6
52,39
53,41
54,4
55,11
56,17
57,51
58,19
59,31
60,30
61,16
62,13
63,7
64,17
65,14
66,12
67,11
68,9
69,17
70,24
71,9
72,11
73,4
74,11
75,15
76,13
77,10
78,32
79,33
80,33
81,4
82,6
83,4
84,24
85,12
86,7
87,18
88,8
89,39
90,22
91,9
92,5
93,16
94,9
95,20
96,38
97,8
98,7
99,6
100,36
101,3
102,3
103,3
104,3
105,9
106,19
107,19
108,16
109,4
110,7
111,3
112,11
113,21
114,5
115,11
116,5
117,15
118,6
119,13
120,12
121,21
122,11
123,21
124,25
125,13
126,38
127,8
128,103
129,32
130,16
131,49
132,29
133,7
134,13
135,55
136,30
137,49
138,40
139,39
140,38
141,28
142,28
143,25
144,20
145,32
146,24
147,10
148,5
149,8
150,4
151,4
152,13
153,45
154,42
155,9
156,18
157,14
158,36
159,9
160,27
161,10
162,16
163,59
164,11
165,40
166,12
167,10
168,14
169,6
170,6
171,19
172,10
173,8
174,3
175,3
176,8
177,27
178,10
179,7
180,7
181,13
182,22
183,55
184,22
185,36
186,21
187,9
188,13
189,15
190,4
191,3
192,5
193,19
194,9
195,17
196,17
197,21
198,19
199,9
200,10
201,12
202,9
203,7
204,10
205,12
206,49
207,21
208,8
209,14
210,14
211,20
212,10
213,28
214,49
215,56
216,16
217,6
218,6
219,6
220,23
221,26
222,37
223,51
224,25
225,19
226,36
227,18
228,16
229,68
230,7
231,14
232,4
233,26
234,22
235,25
236,8
237,25
238,22
239,10
240,65
241,30
242,12
243,11
244,16
245,20
246,50
247,40
248,17
249,22
250,15
251,35
252,27
253,22
254,20
255,41
256,17
257,13
258,45
259,11
260,31
261,12
262,12
263,31
264,25
265,12
266,11
267,9
268,13
269,14
270,30
271,6
272,14
273,5
274,14
275,24
276,10
277,23
278,10
279,13
280,26
281,74
282,44
283,14
284,22
285,19
286,9
287,10
288,4
289,35
290,56
291,22
292,21
293,6
294,16
295,4
296,4
297,4
298,4
299,32
300,4
301,5
302,14
303,11
304,11
305,23
306,8
307,20
308,16
309,36
310,16
311,14
312,10
313,11
314,20
315,4
316,8
317,11
318,15
319,41
320,25
321,17
322,11
323,21
324,10
325,10
326,11
327,11
328,3
329,2
330,4
331,21
332,9
333,9
334,5
335,39
336,40
337,26
338,61
339,22
