,Length of Sentence
0,29
1,40
2,45
3,17
4,12
5,53
6,10
7,47
8,42
9,38
10,19
11,13
12,23
13,6
14,26
15,31
16,23
17,14
18,9
19,17
20,23
21,32
22,18
23,42
24,10
25,21
26,10
27,57
28,19
29,26
30,28
31,9
32,28
33,16
34,68
35,28
36,33
37,46
38,16
39,5
40,30
41,42
42,9
43,13
44,64
45,14
46,14
47,44
48,11
49,31
50,20
51,23
52,45
53,18
54,18
55,19
56,42
57,56
58,41
59,34
60,49
61,11
62,5
63,24
64,16
65,18
66,14
67,23
68,11
69,42
70,19
71,32
72,21
73,46
74,17
75,48
76,8
77,15
78,20
79,20
80,60
81,45
82,20
83,47
84,20
85,40
86,20
87,17
88,21
89,50
90,70
91,37
92,42
93,65
94,37
95,23
96,54
97,40
98,51
99,30
100,54
101,40
102,10
103,61
104,21
105,43
106,48
107,44
108,22
109,35
110,44
111,9
112,18
113,40
114,29
115,34
116,18
117,29
118,20
119,3
120,5
121,4
122,20
123,8
124,22
125,17
126,5
127,2
128,17
129,21
130,19
131,8
132,2
133,20
134,6
135,4
136,7
137,2
138,8
139,4
140,7
141,21
142,5
143,27
144,9
145,4
146,3
147,29
148,68
149,5
150,2
151,7
152,5
153,15
154,13
155,12
156,17
157,8
158,12
159,52
160,32
161,3
162,12
163,29
164,11
165,20
166,9
167,26
168,13
169,9
170,12
171,28
172,15
173,18
174,25
175,63
176,29
177,41
178,33
179,23
180,14
181,7
182,8
183,9
184,23
185,11
186,27
187,4
188,16
189,6
190,15
191,9
192,21
193,16
194,41
195,16
196,13
197,16
198,18
199,36
200,33
201,27
202,15
203,26
204,22
205,60
206,23
207,23
208,30
209,25
210,18
211,44
212,24
213,6
214,30
215,37
216,33
217,26
218,11
219,6
220,10
221,15
222,12
223,10
224,24
225,11
226,34
227,18
228,26
229,9
230,28
231,24
232,30
233,10
234,18
235,15
236,11
237,4
238,5
239,6
240,12
241,19
242,3
243,8
244,55
245,38
246,14
247,16
248,19
249,9
250,21
251,5
252,12
253,19
254,28
255,48
256,23
257,22
258,29
259,11
260,19
261,15
262,21
263,15
264,23
265,35
266,23
267,14
268,18
269,25
270,7
271,16
272,15
273,49
274,15
275,47
276,11
277,19
278,6
279,22
280,30
281,33
282,40
283,20
284,10
285,10
286,28
287,11
288,28
289,40
290,58
291,17
292,8
293,78
294,116
295,33
296,22
297,32
298,28
299,25
300,7
301,161
302,23
303,5
304,2
305,25
306,11
307,88
308,108
309,34
310,29
311,13
312,29
313,93
314,45
315,52
316,18
317,97
318,28
319,18
320,41
321,40
322,29
323,22
324,27
325,32
326,41
327,6
328,26
329,40
330,25
331,24
332,89
333,18
334,15
335,71
336,33
337,43
338,46
339,31
340,14
341,43
342,37
343,26
344,50
345,35
346,36
347,11
348,28
349,8
350,36
351,17
352,31
353,35
354,18
355,44
356,20
357,27
358,11
359,17
360,6
361,29
362,22
363,22
364,15
365,33
366,29
367,34
368,4
369,8
370,25
371,11
372,11
373,57
374,7
375,5
376,56
377,6
378,5
379,12
380,6
381,12
382,44
383,36
384,5
385,13
386,14
387,23
388,6
389,2
390,8
391,6
392,17
393,2
394,5
395,29
396,13
397,14
398,4
399,3
400,19
401,25
402,6
403,6
404,6
405,6
406,3
407,4
408,9
409,6
410,6
411,2
412,7
413,5
414,4
415,24
416,15
417,6
418,3
419,25
420,16
421,2
422,17
423,48
424,69
425,32
426,35
427,19
428,14
429,18
430,42
431,20
432,10
433,23
434,27
435,27
436,10
437,25
438,36
439,36
440,39
441,15
442,20
443,5
444,18
445,17
446,8
447,14
448,26
449,10
450,6
451,20
452,12
453,6
454,5
455,9
456,25
457,24
458,40
459,33
460,10
461,12
462,11
463,56
464,34
465,30
466,20
467,9
468,14
469,59
470,26
471,110
472,24
473,83
474,28
475,17
476,103
477,38
478,20
479,27
480,41
481,21
482,17
483,6
484,2
485,12
486,22
487,18
488,6
489,2
490,21
491,12
492,8
493,11
494,8
495,5
496,2
497,87
498,19
499,58
500,48
501,84
502,9
503,13
504,36
505,7
506,4
507,6
508,5
509,4
510,4
511,28
512,28
513,15
514,14
515,23
516,37
517,17
518,21
519,7
520,15
521,22
522,17
523,38
524,19
525,26
526,14
527,11
528,33
529,4
530,43
531,22
532,53
533,55
534,15
535,25
536,54
537,116
538,29
539,31
540,32
541,37
542,15
543,17
544,10
545,3
546,10
547,4
548,36
549,12
550,37
551,7
552,22
553,9
554,37
555,104
556,15
557,6
558,23
559,34
560,12
561,16
562,6
563,20
564,33
565,42
566,28
567,26
568,17
569,13
570,13
571,19
572,18
573,30
574,36
575,22
576,60
577,30
578,72
579,17
580,5
581,3
582,5
583,10
584,14
585,14
586,19
587,5
588,5
589,14
590,13
591,15
592,8
593,16
594,6
595,7
596,12
597,18
598,12
599,8
600,5
601,33
602,22
603,24
604,25
605,12
606,23
607,3
608,2
609,15
610,14
611,12
612,5
613,9
614,2
615,4
616,85
617,38
618,10
619,40
620,14
621,31
622,17
623,26
624,40
625,32
626,17
627,27
628,6
629,9
630,12
631,21
632,20
633,15
634,16
635,17
636,12
637,16
638,27
639,4
640,3
641,20
642,3
643,2
644,4
645,9
646,22
647,49
648,31
649,18
650,40
651,32
652,12
653,33
654,8
655,19
656,88
657,13
658,23
659,7
660,16
661,13
662,30
663,27
664,25
665,43
666,13
667,25
668,8
669,69
670,23
671,87
672,42
673,110
674,14
675,44
676,23
677,34
678,27
679,21
680,19
681,8
682,37
683,43
684,55
685,17
686,22
687,23
688,23
689,33
690,94
691,15
692,7
693,10
694,90
695,21
696,6
697,6
698,6
699,4
700,9
701,6
702,7
703,9
704,9
705,4
706,2
707,8
708,5
709,3
710,12
711,23
712,21
713,41
714,28
715,20
716,25
717,4
718,6
719,75
720,8
721,3
722,5
723,7
724,16
725,7
726,8
727,4
728,28
729,5
730,5
731,6
732,11
733,17
734,7
735,11
736,55
737,15
738,11
739,4
740,4
741,20
742,32
743,21
744,28
745,30
746,10
747,35
748,21
749,19
750,20
751,23
752,26
753,17
754,36
755,31
756,41
757,27
758,51
759,16
760,23
761,16
762,14
763,12
764,20
765,27
766,7
767,8
768,6
769,4
770,12
771,10
772,24
773,10
774,17
775,17
